Username,Password,Course,Genre
Alice,pass123,Mathematics101,Math
Alice,pass123,History101,History
Alice,pass123,OrganicChemistry201,Chemistry
Bob,secret321,Physics201,Physics
Jenny,myPwd1,EnvironmentalChemistry201,Chemistry
Jenny,myPwd1,ArtHistory101,History
shubh,123,NumberTheory101,Math
Charlie,myPwd1,Calculus101,Math
Charlie,myPwd1,Chemistry201,Chemistry
David,p@ssw0rd,WorldHistory101,History
David,p@ssw0rd,EnglishComposition101,English
Eve,letmein,LinearAlgebra201,Math
Eve,letmein,ComputerProgramming101,Programming
Priyansu,123,NumberTheory101,Math
Priyansu,123,ParticlePhysics201,Physics
Frank,letmein,Statistics101,Math
Frank,letmein,OrganicChemistry201,Chemistry
Grace,secret123,QuantumPhysics201,Physics
Grace,secret123,EuropeanHistory101,History
Ivy,pass123,NumberTheory101,Math
Ivy,pass123,ParticlePhysics201,Physics
Hank,p@ssw0rd,WebDevelopment101,Programming
Hank,p@ssw0rd,EnglishLiterature101,English
